date,AQI
10/26/2019,20
10/27/2019,42
10/28/2019,19
10/29/2019,46
10/30/2019,20
10/31/2019,56
11/01/2019,28
11/02/2019,27
11/03/2019,58
11/04/2019,65
11/05/2019,60
11/06/2019,80
11/07/2019,82
11/08/2019,30
11/09/2019,17
11/10/2019,45
11/11/2019,81
11/12/2019,61
11/13/2019,83
11/14/2019,122
11/15/2019,95
11/16/2019,51
11/17/2019,6
11/18/2019,18
11/19/2019,24
11/20/2019,14
11/21/2019,23
11/22/2019,33
11/23/2019,20
11/24/2019,32
11/25/2019,42
11/26/2019,32
11/27/2019,25
11/28/2019,13
11/29/2019,24
11/30/2019,24
12/01/2019,31
12/02/2019,35
12/03/2019,58
12/04/2019,18
12/05/2019,36
12/06/2019,35
12/07/2019,22
12/08/2019,19
12/09/2019,26
12/10/2019,25
12/11/2019,42
12/12/2019,66
12/13/2019,82
12/14/2019,63
12/15/2019,30
12/17/2019,10
12/18/2019,21
12/19/2019,33
12/20/2019,18
12/21/2019,17
12/22/2019,4
12/23/2019,5
12/24/2019,23
12/25/2019,23
12/26/2019,5
12/27/2019,27
12/28/2019,41
12/29/2019,45
12/30/2019,26
12/31/2019,20
01/01/2020,33
01/02/2020,31
01/03/2020,23
01/04/2020,55
01/05/2020,58
01/06/2020,11
01/07/2020,17
01/08/2020,30
01/09/2020,29
01/10/2020,35
01/11/2020,43
01/12/2020,55
01/13/2020,71
01/14/2020,80
01/15/2020,83
01/16/2020,72
01/17/2020,24
01/18/2020,21
01/19/2020,14
01/20/2020,46
01/21/2020,23
01/22/2020,50
01/23/2020,15
01/24/2020,18
01/25/2020,59
01/26/2020,102
01/27/2020,78
01/28/2020,20
01/29/2020,10
01/30/2020,0
01/31/2020,11
02/01/2020,10
02/02/2020,10
02/03/2020,6
02/04/2020,3
02/05/2020,20
02/06/2020,46
02/07/2020,71
02/08/2020,73
02/09/2020,44
02/10/2020,3
02/11/2020,1
02/12/2020,19
02/13/2020,43
02/14/2020,53
02/15/2020,60
02/16/2020,63
02/17/2020,69
02/18/2020,63
02/19/2020,83
02/20/2020,35
02/21/2020,20
02/22/2020,19
02/23/2020,39
02/24/2020,56
02/25/2020,6
02/26/2020,11
02/27/2020,11
02/28/2020,5
02/29/2020,21
03/01/2020,26
03/02/2020,5
03/03/2020,1
03/04/2020,29
03/05/2020,47
03/06/2020,52
03/07/2020,13
03/08/2020,0
03/09/2020,0
03/10/2020,4
03/11/2020,4
03/12/2020,14
03/13/2020,8
03/14/2020,13
03/15/2020,10
03/16/2020,11
03/17/2020,5
03/18/2020,25
03/19/2020,9
03/20/2020,9
03/21/2020,25
03/22/2020,10
03/23/2020,6
03/24/2020,16
03/25/2020,1
03/26/2020,10
03/27/2020,15
03/28/2020,23
03/29/2020,30
03/30/2020,27
03/31/2020,42
04/01/2020,40
04/02/2020,28
04/03/2020,36
04/04/2020,27
04/05/2020,20
04/06/2020,4
04/07/2020,15
04/08/2020,5
04/09/2020,10
04/10/2020,6
04/11/2020,27
04/12/2020,13
04/13/2020,12
04/14/2020,29
04/15/2020,28
04/16/2020,28
04/17/2020,29
04/18/2020,22
04/19/2020,27
04/20/2020,32
04/21/2020,28
04/22/2020,37
04/23/2020,40
04/24/2020,34
04/25/2020,38
04/26/2020,34
04/27/2020,43
04/28/2020,55
04/29/2020,58
04/30/2020,59
05/01/2020,56
05/02/2020,48
05/03/2020,41
05/04/2020,49
05/05/2020,42
05/06/2020,43
05/07/2020,54
05/08/2020,62
05/09/2020,64
05/10/2020,56
05/11/2020,45
05/12/2020,23
05/13/2020,20
05/14/2020,29
05/15/2020,39
05/16/2020,52
05/17/2020,43
05/18/2020,19
05/19/2020,19
05/20/2020,30
05/21/2020,34
05/22/2020,37
05/23/2020,52
05/24/2020,59
05/25/2020,60
05/26/2020,57
05/27/2020,57
05/28/2020,46
05/29/2020,33
05/30/2020,10
05/31/2020,25
06/01/2020,40
06/02/2020,49
06/03/2020,47
06/04/2020,53
06/05/2020,22
06/06/2020,24
06/07/2020,25
06/08/2020,7
06/09/2020,0
06/10/2020,19
06/11/2020,40
06/12/2020,53
06/13/2020,43
06/14/2020,38
06/15/2020,53
06/16/2020,50
06/17/2020,47
06/18/2020,48
