date,AQI
01/28/2024,35
01/28/2024,35
01/29/2017,39
01/29/2017,42
01/29/2017,41
01/29/2018,36
01/29/2018,34
01/29/2018,32
01/29/2019,24
01/29/2019,19
01/29/2019,31
01/29/2020,39
01/29/2020,39
01/29/2020,37
01/29/2021,25
01/29/2021,32
01/29/2021,29
01/29/2022,24
01/29/2022,30
01/29/2022,28
01/29/2023,32
01/29/2023,35
01/29/2023,36
01/29/2024,30
01/29/2024,36
01/29/2024,31
01/30/2017,24
01/30/2017,37
01/30/2017,29
01/30/2018,18
01/30/2018,23
01/30/2018,20
01/30/2019,22
01/30/2019,22
01/30/2019,31
01/30/2020,37
01/30/2020,37
01/30/2020,36
01/30/2021,30
01/30/2021,36
01/30/2021,32
01/30/2022,34
01/30/2022,36
01/30/2022,33
01/30/2023,36
01/30/2023,33
01/30/2023,34
01/30/2024,31
01/30/2024,38
01/30/2024,39
01/31/2017,34
01/31/2017,34
01/31/2018,26
01/31/2018,30
01/31/2018,33
01/31/2019,18
01/31/2019,24
01/31/2019,19
01/31/2020,32
01/31/2020,36
01/31/2020,32
01/31/2021,31
01/31/2021,36
01/31/2021,34
01/31/2022,14
01/31/2022,24
01/31/2022,22
01/31/2023,42
01/31/2023,39
01/31/2023,38
01/31/2024,40
01/31/2024,39
01/31/2024,42
02/01/2017,34
02/01/2017,36
02/01/2017,37
02/01/2018,24
02/01/2018,35
02/01/2018,36
02/01/2019,26
02/01/2019,29
02/01/2020,35
02/01/2020,38
02/01/2020,32
02/01/2021,6
02/01/2021,11
02/01/2021,9
02/01/2022,37
02/01/2022,36
02/01/2022,32
02/01/2023,38
02/01/2023,38
02/01/2023,38
02/01/2024,31
02/01/2024,28
02/01/2024,29
02/02/2017,26
02/02/2017,33
02/02/2017,32
02/02/2018,31
02/02/2018,38
02/02/2018,40
02/02/2019,31
02/02/2019,34
02/02/2019,30
02/02/2020,39
02/02/2020,43
02/02/2020,38
02/02/2021,24
02/02/2021,28
02/02/2021,29
02/02/2022,40
02/02/2022,42
02/02/2022,38
02/02/2023,33
02/02/2023,31
02/02/2024,33
02/02/2024,35
02/02/2024,38
02/03/2017,16
02/03/2017,19
02/03/2017,14
02/03/2018,51
02/03/2018,38
02/03/2018,45
02/03/2019,33
02/03/2019,34
02/03/2019,32
02/03/2020,39
02/03/2020,40
02/03/2020,37
02/03/2021,27
02/03/2021,35
02/03/2021,34
02/03/2022,39
02/03/2023,22
02/03/2023,29
02/03/2023,28
02/03/2024,38
02/03/2024,40
02/03/2024,40
02/04/2017,25
02/04/2017,31
02/04/2017,31
02/04/2018,49
02/04/2018,48
02/04/2018,58
02/04/2019,31
02/04/2019,35
02/04/2019,33
02/04/2020,39
02/04/2020,40
02/04/2020,37
02/04/2021,40
02/04/2021,38
02/04/2022,38
02/04/2022,36
02/04/2023,36
02/04/2023,37
02/04/2023,36
02/04/2024,33
02/04/2024,36
02/04/2024,36
02/05/2017,24
02/05/2017,24
02/05/2017,27
02/05/2018,38
02/05/2018,41
02/05/2018,44
02/05/2019,33
02/05/2019,39
02/05/2019,35
02/05/2020,25
02/05/2020,26
02/05/2020,28
02/05/2021,34
02/05/2021,35
02/05/2022,44
02/05/2022,41
02/05/2022,40
02/05/2023,34
02/05/2023,36
02/05/2023,37
02/05/2024,25
02/05/2024,25
02/05/2024,28
02/06/2017,17
02/06/2017,23
02/06/2017,24
02/06/2018,43
02/06/2018,42
02/06/2018,38
02/06/2019,31
02/06/2019,32
02/06/2019,31
02/06/2020,24
02/06/2020,25
02/06/2020,32
02/06/2021,45
02/06/2021,38
02/06/2022,44
02/06/2022,43
02/06/2022,40
02/06/2023,35
02/06/2023,37
02/06/2023,36
02/06/2024,31
02/06/2024,31
02/06/2024,28
02/07/2017,16
02/07/2017,19
02/07/2017,20
02/07/2018,44
02/07/2018,39
02/07/2019,37
02/07/2019,41
02/07/2019,35
02/07/2020,29
02/07/2020,28
02/07/2020,34
02/07/2021,42
02/07/2021,48
02/07/2021,47
02/07/2022,42
02/07/2022,40
02/07/2022,37
02/07/2023,38
02/07/2023,36
02/07/2023,37
02/07/2024,31
02/07/2024,34
02/07/2024,35
02/08/2017,11
02/08/2017,16
02/08/2017,11
02/08/2018,45
02/08/2018,41
02/08/2019,35
02/08/2019,41
02/08/2019,35
02/08/2020,48
02/08/2020,50
02/08/2020,50
02/08/2021,34
02/08/2021,44
02/08/2021,41
02/08/2022,41
02/08/2022,42
02/08/2022,35
02/08/2023,32
02/08/2023,34
02/08/2024,32
02/08/2024,35
02/08/2024,38
02/09/2017,22
02/09/2017,21
02/09/2018,38
02/09/2018,38
02/09/2018,41
02/09/2019,35
02/09/2019,41
02/09/2019,35
02/09/2020,39
02/09/2020,38
02/09/2020,36
02/09/2021,24
02/09/2021,21
02/09/2021,32
02/09/2022,43
02/09/2022,44
02/09/2022,36
02/09/2023,39
02/09/2023,40
02/09/2024,33
02/09/2024,37
02/09/2024,37
02/10/2017,10
02/10/2017,11
02/10/2017,6
02/10/2018,42
02/10/2018,36
02/10/2018,39
02/10/2019,35
02/10/2019,39
02/10/2019,35
02/10/2020,40
02/10/2020,39
02/10/2020,36
02/10/2021,32
02/10/2021,33
02/10/2021,38
02/10/2022,40
02/10/2022,35
02/10/2023,33
02/10/2023,39
02/10/2023,37
02/10/2024,37
02/10/2024,36
02/10/2024,36
02/11/2017,33
02/11/2017,37
02/11/2017,36
02/11/2018,44
02/11/2018,45
02/11/2018,44
02/11/2019,40
02/11/2019,43
02/11/2019,38
02/11/2020,43
02/11/2020,43
02/11/2020,42
02/11/2021,31
02/11/2021,41
02/11/2021,40
02/11/2022,44
02/11/2022,41
02/11/2022,34
02/11/2023,39
02/11/2023,41
02/11/2023,39
02/11/2024,40
02/11/2024,41
02/11/2024,40
02/12/2017,35
02/12/2017,39
02/12/2018,39
02/12/2018,38
02/12/2018,39
02/12/2019,31
02/12/2019,36
02/12/2019,28
02/12/2020,40
02/12/2020,42
02/12/2020,41
02/12/2021,31
02/12/2021,36
02/12/2021,34
02/12/2022,43
02/12/2022,43
02/12/2022,38
02/12/2023,38
02/12/2023,37
02/12/2023,39
02/12/2024,36
02/12/2024,38
02/12/2024,38
02/13/2017,34
02/13/2017,36
02/13/2017,37
02/13/2018,41
02/13/2018,40
02/13/2019,31
02/13/2019,32
02/13/2019,27
02/13/2020,32
02/13/2020,38
02/13/2020,39
02/13/2021,30
02/13/2021,34
02/13/2021,34
02/13/2022,44
02/13/2022,44
02/13/2022,44
02/13/2023,41
02/13/2023,38
02/13/2023,43
02/13/2024,36
02/13/2024,40
02/13/2024,43
02/14/2017,31
02/14/2017,33
02/14/2017,30
02/14/2018,37
02/14/2018,37
02/14/2018,35
02/14/2019,28
02/14/2019,33
02/14/2019,31
02/14/2020,38
02/14/2020,43
02/14/2020,43
02/14/2021,35
02/14/2021,42
02/14/2021,37
02/14/2022,46
02/14/2022,50
02/14/2022,46
02/14/2023,33
02/14/2023,36
02/14/2023,36
02/14/2024,37
02/14/2024,39
02/14/2024,44
02/15/2017,32
02/15/2017,40
02/15/2017,34
02/15/2018,44
02/15/2018,41
02/15/2019,39
02/15/2019,38
02/15/2020,50
02/15/2020,49
02/15/2020,48
02/15/2021,26
02/15/2021,30
02/15/2021,31
02/15/2022,36
02/15/2022,36
02/15/2022,33
02/15/2023,36
02/15/2023,35
02/15/2023,35
02/15/2024,39
02/15/2024,44
02/16/2017,31
02/16/2017,41
02/16/2017,38
02/16/2018,42
02/16/2018,44
02/16/2018,40
02/16/2019,38
02/16/2019,41
02/16/2019,37
02/16/2020,71
02/16/2020,93
02/16/2020,74
02/16/2021,30
02/16/2021,35
02/16/2021,34
02/16/2022,34
02/16/2022,34
02/16/2022,33
02/16/2023,37
02/16/2023,35
02/16/2024,31
02/16/2024,33
02/16/2024,36
02/17/2017,35
02/17/2017,39
02/17/2017,39
02/17/2018,41
02/17/2018,42
02/17/2018,42
02/17/2019,33
02/17/2019,38
02/17/2019,35
02/17/2020,51
02/17/2020,47
02/17/2020,49
02/17/2021,36
02/17/2021,35
02/17/2022,40
02/17/2022,41
02/17/2023,36
02/17/2023,36
02/17/2023,39
02/17/2024,33
02/17/2024,32
02/17/2024,36
02/18/2017,34
02/18/2017,45
02/18/2017,43
02/18/2018,46
02/18/2018,48
02/18/2018,44
02/18/2019,37
02/18/2019,43
02/18/2019,35
02/18/2020,33
02/18/2020,33
02/18/2020,34
02/18/2021,41
02/18/2021,40
02/18/2021,39
02/18/2022,40
02/18/2022,40
02/18/2022,33
02/18/2023,40
02/18/2023,42
02/18/2023,41
02/18/2024,31
02/18/2024,36
02/18/2024,35
02/19/2017,31
02/19/2017,34
02/19/2017,33
02/19/2018,38
02/19/2018,40
02/19/2018,39
02/19/2019,36
02/19/2019,40
02/19/2019,35
02/19/2020,41
02/19/2020,44
02/19/2020,45
02/19/2021,38
02/19/2021,47
02/19/2021,44
02/19/2022,43
02/19/2022,37
02/19/2023,44
02/19/2023,46
02/19/2023,47
02/19/2024,23
02/19/2024,28
02/19/2024,26
02/20/2017,27
02/20/2017,33
02/20/2017,32
02/20/2018,38
02/20/2018,42
02/20/2018,39
02/20/2019,28
02/20/2019,33
02/20/2019,29
02/20/2020,44
02/20/2020,45
02/20/2020,45
02/20/2021,39
02/20/2021,44
02/20/2021,42
02/20/2022,45
02/20/2022,48
02/20/2022,43
02/20/2023,39
02/20/2023,39
02/20/2023,42
02/20/2024,19
02/20/2024,21
02/20/2024,17
02/21/2017,20
02/21/2017,27
02/21/2017,29
02/21/2018,38
02/21/2018,42
02/21/2018,40
02/21/2019,31
02/21/2019,34
02/21/2019,31
02/21/2020,42
02/21/2020,43
02/21/2020,43
02/21/2021,38
02/21/2021,44
02/21/2021,38
02/21/2022,38
02/21/2022,40
02/21/2022,36
02/21/2023,38
02/21/2023,40
02/21/2024,34
02/21/2024,36
02/21/2024,38
02/22/2017,33
02/22/2017,43
02/22/2017,43
02/22/2018,37
02/22/2018,41
02/22/2018,39
02/22/2019,38
02/22/2019,43
02/22/2019,37
02/22/2020,36
02/22/2020,37
02/22/2020,33
02/22/2021,35
02/22/2021,39
02/22/2021,35
02/22/2022,36
02/22/2022,37
02/22/2022,35
02/22/2023,36
02/22/2023,36
02/22/2023,39
02/22/2024,36
02/22/2024,34
02/22/2024,40
02/23/2017,33
02/23/2017,42
02/23/2017,42
02/23/2018,40
02/23/2018,43
02/23/2018,39
02/23/2019,41
02/23/2019,44
02/23/2019,41
02/23/2020,33
02/23/2020,34
02/23/2020,37
02/23/2021,36
02/23/2021,44
02/23/2021,41
02/23/2022,30
02/23/2022,32
02/23/2022,30
02/23/2023,32
02/23/2023,34
02/23/2024,39
02/23/2024,38
02/23/2024,38
02/24/2017,34
02/24/2017,42
02/24/2017,38
02/24/2018,39
02/24/2018,43
02/24/2018,40
02/24/2019,46
02/24/2019,47
02/24/2019,44
02/24/2020,34
02/24/2020,34
02/24/2020,37
02/24/2021,43
02/24/2021,54
02/24/2021,47
02/24/2022,36
02/24/2022,37
02/24/2022,35
02/24/2023,35
02/24/2023,36
02/24/2024,37
