"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/23/2022","AQS","060650009","1","0.057","ppm","58","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/24/2022","AQS","060650009","1","0.064","ppm","80","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/25/2022","AQS","060650009","1","0.069","ppm","97","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/26/2022","AQS","060650009","1","0.048","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/27/2022","AQS","060650009","1","0.05","ppm","46","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/28/2022","AQS","060650009","1","0.041","ppm","38","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/29/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/30/2022","AQS","060650009","1","0.048","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"03/31/2022","AQS","060650009","1","0.039","ppm","36","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/01/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/02/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/03/2022","AQS","060650009","1","0.046","ppm","43","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/04/2022","AQS","060650009","1","0.052","ppm","48","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/05/2022","AQS","060650009","1","0.066","ppm","87","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/06/2022","AQS","060650009","1","0.066","ppm","87","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/07/2022","AQS","060650009","1","0.053","ppm","49","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/08/2022","AQS","060650009","1","0.053","ppm","49","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/09/2022","AQS","060650009","1","0.063","ppm","77","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/10/2022","AQS","060650009","1","0.05","ppm","46","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/11/2022","AQS","060650009","1","0.053","ppm","49","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/12/2022","AQS","060650009","1","0.054","ppm","50","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/13/2022","AQS","060650009","1","0.061","ppm","71","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/14/2022","AQS","060650009","1","0.063","ppm","77","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/15/2022","AQS","060650009","1","0.057","ppm","58","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/16/2022","AQS","060650009","1","0.04","ppm","37","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/17/2022","AQS","060650009","1","0.046","ppm","43","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/18/2022","AQS","060650009","1","0.054","ppm","50","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/19/2022","AQS","060650009","1","0.048","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/20/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","15","88.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/21/2022","AQS","060650009","1","0.047","ppm","44","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/22/2022","AQS","060650009","1","0.05","ppm","46","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/23/2022","AQS","060650009","1","0.059","ppm","64","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
"04/24/2022","AQS","060650009","1","0.058","ppm","61","Pechanga","17","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","065","Riverside","33.4478670008682","-117.088649"
